date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:30:22	103/103	------	200	untouched ('OK')	text/plain	date:Tue,%2022%20Jul%202025%2022:00:32%20GMT	https://www.landio.com/robots.txt		(from )
02:30:22	166696/166696	------	200	untouched ('OK')	text/html	date:Tue,%2022%20Jul%202025%2022:25:56%20GMT	https://www.landio.com/	D:/LANDIO/LANDIO/LANDIO/www.landio.com/index.html	(from )
02:30:22	6364/6364	------	502	error ('Bad%20Gateway')	text/html	date:Tue,%2022%20Jul%202025%2023:21:58%20GMT	https://www.landio.com/land-for-sale?availability=Available	D:/LANDIO/LANDIO/LANDIO/www.landio.com/land-for-sale.7fa88.delayed	(from https://www.landio.com/)
02:30:22	260152/260152	------	200	untouched ('OK')	text/css	etag:W/%22c6967ff9bca13018afd6bb931aa27704%22	https://cdn.prod.website-files.com/57e230cebffd9310200495d6/css/landio-ii.shared.c6967ff9b.min.css	D:/LANDIO/LANDIO/LANDIO/cdn.prod.website-files.com/57e230cebffd9310200495d6/css/landio-ii.shared.c6967ff9b.min.css	(from https://www.landio.com/)
02:30:22	13188/13188	------	200	untouched ('')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	D:/LANDIO/LANDIO/LANDIO/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://www.landio.com/)
02:30:22	614/614	------	200	untouched ('')	image/png	etag:%220931b1cfa57ac023414ea5868ec60ba0%22	https://cdn.prod.website-files.com/57e230cebffd9310200495d6/64f435897a05afc618e4adfe_LANDIO.png	D:/LANDIO/LANDIO/LANDIO/cdn.prod.website-files.com/57e230cebffd9310200495d6/64f435897a05afc618e4adfe_LANDIO.png	(from https://www.landio.com/)
02:30:22	6897/6897	------	200	untouched ('')	image/png	etag:%22e71439d4bf976f24104abfe27c8d7d3b%22	https://cdn.prod.website-files.com/57e230cebffd9310200495d6/64f435f9b31af27272805e6e_LANDIO.png	D:/LANDIO/LANDIO/LANDIO/cdn.prod.website-files.com/57e230cebffd9310200495d6/64f435f9b31af27272805e6e_LANDIO.png	(from https://www.landio.com/)
02:30:22	6364/6364	------	502	error ('Bad%20Gateway')	text/html	date:Tue,%2022%20Jul%202025%2023:21:58%20GMT	https://www.landio.com/land-for-sale?country=U.S.A.&property=FEATURED	D:/LANDIO/LANDIO/LANDIO/www.landio.com/land-for-sale.8d8ee.delayed	(from https://www.landio.com/)
02:30:22	58665/58665	------	200	untouched ('')	application/javascript	etag:W/%22a4ec01e9f8a99aa9d94958b64ea43a17%22	http://nexus.ensighten.com/choozle/18733/Bootstrap.js	D:/LANDIO/LANDIO/LANDIO/nexus.ensighten.com/choozle/18733/Bootstrap.js	(from https://www.landio.com/)
02:30:22	456/456	------	200	untouched ('')	image/png	etag:%223ea2134b1ff7e1a6beb5c3e066837f6a%22	https://cdn.prod.website-files.com/57e230cebffd9310200495d6/57e230cebffd9310200495df_Close.png	D:/LANDIO/LANDIO/LANDIO/cdn.prod.website-files.com/57e230cebffd9310200495d6/57e230cebffd9310200495df_Close.png	(from https://www.landio.com/)
02:30:22	690914/690914	------	200	untouched ('OK')	text/html	date:Tue,%2022%20Jul%202025%2022:27:16%20GMT	https://www.landio.com/land-for-sale?availability=AVAILABLE	D:/LANDIO/LANDIO/LANDIO/www.landio.com/land-for-sale33e2.html	(from https://www.landio.com/)
02:30:22	690914/690914	------	200	untouched ('OK')	text/html	date:Tue,%2022%20Jul%202025%2022:27:45%20GMT	https://www.landio.com/land-for-sale	D:/LANDIO/LANDIO/LANDIO/www.landio.com/land-for-sale.html	(from https://www.landio.com/)
02:30:22	6364/6364	------	502	error ('Bad%20Gateway')	text/html	date:Tue,%2022%20Jul%202025%2023:21:58%20GMT	https://www.landio.com/land-for-sale?availability=Pending	D:/LANDIO/LANDIO/LANDIO/www.landio.com/land-for-sale.acf56.delayed	(from https://www.landio.com/)
02:30:22	690914/690914	------	200	untouched ('OK')	text/html	date:Tue,%2022%20Jul%202025%2022:32:55%20GMT	https://www.landio.com/land-for-sale?availability=PENDING	D:/LANDIO/LANDIO/LANDIO/www.landio.com/land-for-sale9770.html	(from https://www.landio.com/)
02:30:22	6366/6366	------	502	error ('Bad%20Gateway')	text/html	date:Tue,%2022%20Jul%202025%2023:22:21%20GMT	https://www.landio.com/land-for-sale?availability=Sold	D:/LANDIO/LANDIO/LANDIO/www.landio.com/land-for-sale.cb306.delayed	(from https://www.landio.com/)
02:30:22	690914/690914	------	200	untouched ('OK')	text/html	date:Tue,%2022%20Jul%202025%2022:36:29%20GMT	https://www.landio.com/land-for-sale?availability=SOLD	D:/LANDIO/LANDIO/LANDIO/www.landio.com/land-for-saled9af.html	(from https://www.landio.com/)
02:30:22	6366/6366	------	502	error ('Bad%20Gateway')	text/html	date:Tue,%2022%20Jul%202025%2023:22:21%20GMT	https://www.landio.com/blog	D:/LANDIO/LANDIO/LANDIO/www.landio.com/blog.d.delayed	(from https://www.landio.com/)
02:30:22	6364/6364	------	502	error ('Bad%20Gateway')	text/html	date:Tue,%2022%20Jul%202025%2023:22:40%20GMT	https://www.landio.com/listing/tn-stewart-00071	D:/LANDIO/LANDIO/LANDIO/www.landio.com/listing/tn-stewart-00071.21.delayed	(from https://www.landio.com/)
02:30:22	205411/205411	------	200	untouched ('OK')	text/html	date:Tue,%2022%20Jul%202025%2022:28:42%20GMT	https://www.landio.com/testimonials	D:/LANDIO/LANDIO/LANDIO/www.landio.com/testimonials.html	(from https://www.landio.com/)
02:30:22	50710/50710	------	200	untouched ('OK')	text/html	date:Sun,%2020%20Jul%202025%2020:59:45%20GMT	https://www.landio.com/about	D:/LANDIO/LANDIO/LANDIO/www.landio.com/about.html	(from https://www.landio.com/)
02:30:22	56892/56892	------	200	untouched ('OK')	text/html	date:Sun,%2020%20Jul%202025%2020:58:55%20GMT	https://www.landio.com/contact	D:/LANDIO/LANDIO/LANDIO/www.landio.com/contact.html	(from https://www.landio.com/)
02:30:22	90305/90305	------	200	untouched ('OK')	text/html	date:Sun,%2020%20Jul%202025%2020:55:08%20GMT	https://www.landio.com/landio-real-estate-marketing-services	D:/LANDIO/LANDIO/LANDIO/www.landio.com/landio-real-estate-marketing-services.html	(from https://www.landio.com/)
02:30:22	6364/6364	------	502	error ('Bad%20Gateway')	text/html	date:Tue,%2022%20Jul%202025%2023:22:41%20GMT	https://www.landio.com/listing/tn-stewart-00052	D:/LANDIO/LANDIO/LANDIO/www.landio.com/listing/tn-stewart-00052.2b.delayed	(from https://www.landio.com/)
02:30:22	292276/292276	------	200	untouched ('OK')	text/html	date:Tue,%2022%20Jul%202025%2021:24:09%20GMT	https://www.landio.com/real-estate-marketing-2	D:/LANDIO/LANDIO/LANDIO/www.landio.com/real-estate-marketing-2.html	(from https://www.landio.com/)
02:30:22	288495/288495	------	200	untouched ('OK')	text/html	date:Tue,%2022%20Jul%202025%2022:54:08%20GMT	https://www.landio.com/listing/co-saguache-00008	D:/LANDIO/LANDIO/LANDIO/www.landio.com/listing/co-saguache-00008.html	(from https://www.landio.com/)
02:30:22	417618/417618	------	200	untouched ('')	image/jpeg	etag:%22d8ab9fd559e05bc1464c0e651ce37e20%22	https://cdn.prod.website-files.com/57e230cebffd9310200495da/686c812e545322c29d3132d3_co_saguache_00008_1.jpeg	D:/LANDIO/LANDIO/LANDIO/cdn.prod.website-files.com/57e230cebffd9310200495da/686c812e545322c29d3132d3_co_saguache_00008_1.jpg	(from https://www.landio.com/)
02:30:22	290505/290505	------	200	untouched ('OK')	text/html	date:Tue,%2022%20Jul%202025%2022:35:33%20GMT	https://www.landio.com/listing/wy-carbon-00061	D:/LANDIO/LANDIO/LANDIO/www.landio.com/listing/wy-carbon-00061.html	(from https://www.landio.com/)
02:30:22	378331/378331	------	200	untouched ('')	image/jpeg	etag:%229b2737c75824616a9e7f7c17356e1bff%22	https://cdn.prod.website-files.com/57e230cebffd9310200495da/6862d60494a91ae9ae9e043f_wy_carbon_00061_1.jpeg	D:/LANDIO/LANDIO/LANDIO/cdn.prod.website-files.com/57e230cebffd9310200495da/6862d60494a91ae9ae9e043f_wy_carbon_00061_1.jpg	(from https://www.landio.com/)
02:30:22	284922/284922	------	200	untouched ('OK')	text/html	date:Tue,%2022%20Jul%202025%2023:21:35%20GMT	https://www.landio.com/listing/ca-san-luis-obispo-00001	D:/LANDIO/LANDIO/LANDIO/www.landio.com/listing/ca-san-luis-obispo-00001.html	(from https://www.landio.com/)
02:30:22	3129470/3129470	------	200	untouched ('')	image/jpeg	etag:%2257caf8d7aa49279a9b6a8796eb8c21cf%22	https://cdn.prod.website-files.com/57e230cebffd9310200495da/68534a133f5a46fc40eb2054_CA_San-Luis-Obispo_00001.001.jpeg	D:/LANDIO/LANDIO/LANDIO/cdn.prod.website-files.com/57e230cebffd9310200495da/68534a133f5a46fc40eb2054_CA_San-Luis-Obispo_00001.001.jpg	(from https://www.landio.com/)
02:30:22	293329/293329	------	200	untouched ('OK')	text/html	date:Tue,%2022%20Jul%202025%2022:42:24%20GMT	https://www.landio.com/listing/nv-elko-00001	D:/LANDIO/LANDIO/LANDIO/www.landio.com/listing/nv-elko-00001.html	(from https://www.landio.com/)
02:30:22	6366/6366	------	502	error ('Bad%20Gateway')	text/html	date:Tue,%2022%20Jul%202025%2023:22:42%20GMT	https://www.landio.com/listing/tn-stewart-00048	D:/LANDIO/LANDIO/LANDIO/www.landio.com/listing/tn-stewart-00048.31.delayed	(from https://www.landio.com/)
02:30:22	457652/457652	------	200	untouched ('')	image/jpeg	etag:%22d486da2a4c099837e5aec27db76f3d1b%22	https://cdn.prod.website-files.com/57e230cebffd9310200495da/68506828c3029071ef802127_nv_elko_00001_1.jpeg	D:/LANDIO/LANDIO/LANDIO/cdn.prod.website-files.com/57e230cebffd9310200495da/68506828c3029071ef802127_nv_elko_00001_1.jpg	(from https://www.landio.com/)
02:30:22	289547/289547	------	200	untouched ('OK')	text/html	date:Tue,%2022%20Jul%202025%2022:50:22%20GMT	https://www.landio.com/listing/wy-carbon-00060	D:/LANDIO/LANDIO/LANDIO/www.landio.com/listing/wy-carbon-00060.html	(from https://www.landio.com/)
02:30:22	394392/394392	------	200	untouched ('')	image/jpeg	etag:%22a7fe49eab8d4203f0090c8891f8c4781%22	https://cdn.prod.website-files.com/57e230cebffd9310200495da/68456065ee7cc52c18babd74_wy_carbon_00060_1.jpeg	D:/LANDIO/LANDIO/LANDIO/cdn.prod.website-files.com/57e230cebffd9310200495da/68456065ee7cc52c18babd74_wy_carbon_00060_1.jpg	(from https://www.landio.com/)
02:30:22	291572/291572	------	200	untouched ('OK')	text/html	date:Tue,%2022%20Jul%202025%2022:46:35%20GMT	https://www.landio.com/listing/tn-stewart-00082	D:/LANDIO/LANDIO/LANDIO/www.landio.com/listing/tn-stewart-00082.html	(from https://www.landio.com/)
02:30:22	6364/6364	------	502	error ('Bad%20Gateway')	text/html	date:Tue,%2022%20Jul%202025%2023:22:44%20GMT	https://www.landio.com/listing/nm-cibola-00079	D:/LANDIO/LANDIO/LANDIO/www.landio.com/listing/nm-cibola-00079.39.delayed	(from https://www.landio.com/)
02:30:22	512094/512094	------	200	untouched ('')	image/jpeg	etag:%224bf809c4cf7f523414831d94f6acfec7%22	https://cdn.prod.website-files.com/57e230cebffd9310200495da/686b17671312d415bca31cfa_tn_stewart_00082_1.jpeg	D:/LANDIO/LANDIO/LANDIO/cdn.prod.website-files.com/57e230cebffd9310200495da/686b17671312d415bca31cfa_tn_stewart_00082_1.jpg	(from https://www.landio.com/)
02:30:22	291568/291568	------	200	untouched ('OK')	text/html	date:Tue,%2022%20Jul%202025%2022:53:12%20GMT	https://www.landio.com/listing/tn-stewart-00072	D:/LANDIO/LANDIO/LANDIO/www.landio.com/listing/tn-stewart-00072.html	(from https://www.landio.com/)
02:30:22	652747/652747	------	200	untouched ('')	image/jpeg	etag:%223ce5515ab86db6c7a2bb5af5c91c66f0%22	https://cdn.prod.website-files.com/57e230cebffd9310200495da/686b16a2bea9eb31a64c069d_tn_stewart_00072_1.jpeg	D:/LANDIO/LANDIO/LANDIO/cdn.prod.website-files.com/57e230cebffd9310200495da/686b16a2bea9eb31a64c069d_tn_stewart_00072_1.jpg	(from https://www.landio.com/)
02:30:22	635243/635243	------	200	untouched ('')	image/jpeg	etag:%22c35f4d9c64f7ea950ab0ba3ed96efb87%22	https://cdn.prod.website-files.com/57e230cebffd9310200495da/686b15df0d44c04c7162ef92_tn_stewart_00071_1.jpeg	D:/LANDIO/LANDIO/LANDIO/cdn.prod.website-files.com/57e230cebffd9310200495da/686b15df0d44c04c7162ef92_tn_stewart_00071_1.jpg	(from https://www.landio.com/)
02:30:22	291016/291016	------	200	untouched ('OK')	text/html	date:Tue,%2022%20Jul%202025%2022:53:35%20GMT	https://www.landio.com/listing/tn-stewart-00069	D:/LANDIO/LANDIO/LANDIO/www.landio.com/listing/tn-stewart-00069.html	(from https://www.landio.com/)
02:30:22	537844/537844	------	200	untouched ('')	image/jpeg	etag:%22a7cf0a161f1681ae3bbba055fe756b8a%22	https://cdn.prod.website-files.com/57e230cebffd9310200495da/686b14f0bf8b5d7ad33cd34e_tn_stewart_00069_1.jpeg	D:/LANDIO/LANDIO/LANDIO/cdn.prod.website-files.com/57e230cebffd9310200495da/686b14f0bf8b5d7ad33cd34e_tn_stewart_00069_1.jpg	(from https://www.landio.com/)
02:30:22	290487/290487	------	200	untouched ('OK')	text/html	date:Tue,%2022%20Jul%202025%2022:26:03%20GMT	https://www.landio.com/listing/tn-stewart-00063	D:/LANDIO/LANDIO/LANDIO/www.landio.com/listing/tn-stewart-00063.html	(from https://www.landio.com/)
02:30:22	714431/714431	------	200	untouched ('')	image/jpeg	etag:%2292dc5421d55c67bdd8fd2db005082245%22	https://cdn.prod.website-files.com/57e230cebffd9310200495da/68800d52c091163a9fdb66a9_tn_stewart_00063_1.jpeg	D:/LANDIO/LANDIO/LANDIO/cdn.prod.website-files.com/57e230cebffd9310200495da/68800d52c091163a9fdb66a9_tn_stewart_00063_1.jpg	(from https://www.landio.com/)
02:30:22	6364/6364	------	502	error ('Bad%20Gateway')	text/html	date:Tue,%2022%20Jul%202025%2023:23:03%20GMT	https://www.landio.com/listing/nm-cibola-00078	D:/LANDIO/LANDIO/LANDIO/www.landio.com/listing/nm-cibola-00078.3b.delayed	(from https://www.landio.com/)
