date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:18:23	166696/166696	---MCZ	200	added ('OK')	text/html	date:Tue,%2022%20Jul%202025%2022:25:56%20GMT	https://www.landio.com/	D:/LANDIO/LANDIO/LANDIO/www.landio.com/index.html	(from )
02:18:23	690914/690914	---MCZ	200	added ('OK')	text/html	date:Tue,%2022%20Jul%202025%2022:30:04%20GMT	https://www.landio.com/land-for-sale?availability=AVAILABLE&country=U.S.A.	D:/LANDIO/LANDIO/LANDIO/www.landio.com/land-for-sale19aa.html	(from )
02:18:25	690914/690914	---MCZ	200	added ('OK')	text/html	date:Tue,%2022%20Jul%202025%2022:52:44%20GMT	https://www.landio.com/land-for-sale?availability=PENDING&country=U.S.A.	D:/LANDIO/LANDIO/LANDIO/www.landio.com/land-for-sale2826.html	(from )
02:18:25	103/103	---MCZ	200	added ('OK')	text/plain	date:Tue,%2022%20Jul%202025%2022:00:32%20GMT	https://www.landio.com/robots.txt		(from )
02:18:26	260152/260152	---MCZ	200	added ('OK')	text/css	etag:W/%22c6967ff9bca13018afd6bb931aa27704%22	https://cdn.prod.website-files.com/57e230cebffd9310200495d6/css/landio-ii.shared.c6967ff9b.min.css	D:/LANDIO/LANDIO/LANDIO/cdn.prod.website-files.com/57e230cebffd9310200495d6/css/landio-ii.shared.c6967ff9b.min.css	(from https://www.landio.com/)
02:18:28	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	D:/LANDIO/LANDIO/LANDIO/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://www.landio.com/)
02:18:28	614/614	---M--	200	added ('OK')	image/png	etag:%220931b1cfa57ac023414ea5868ec60ba0%22	https://cdn.prod.website-files.com/57e230cebffd9310200495d6/64f435897a05afc618e4adfe_LANDIO.png	D:/LANDIO/LANDIO/LANDIO/cdn.prod.website-files.com/57e230cebffd9310200495d6/64f435897a05afc618e4adfe_LANDIO.png	(from https://www.landio.com/)
02:18:29	6897/6897	---M--	200	added ('OK')	image/png	etag:%22e71439d4bf976f24104abfe27c8d7d3b%22	https://cdn.prod.website-files.com/57e230cebffd9310200495d6/64f435f9b31af27272805e6e_LANDIO.png	D:/LANDIO/LANDIO/LANDIO/cdn.prod.website-files.com/57e230cebffd9310200495d6/64f435f9b31af27272805e6e_LANDIO.png	(from https://www.landio.com/)
02:18:30	58665/58665	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a4ec01e9f8a99aa9d94958b64ea43a17%22	http://nexus.ensighten.com/choozle/18733/Bootstrap.js	D:/LANDIO/LANDIO/LANDIO/nexus.ensighten.com/choozle/18733/Bootstrap.js	(from https://www.landio.com/)
02:18:31	456/456	---M--	200	added ('OK')	image/png	etag:%223ea2134b1ff7e1a6beb5c3e066837f6a%22	https://cdn.prod.website-files.com/57e230cebffd9310200495d6/57e230cebffd9310200495df_Close.png	D:/LANDIO/LANDIO/LANDIO/cdn.prod.website-files.com/57e230cebffd9310200495d6/57e230cebffd9310200495df_Close.png	(from https://www.landio.com/)
02:18:31	690914/690914	---MCZ	200	added ('OK')	text/html	date:Tue,%2022%20Jul%202025%2022:27:16%20GMT	https://www.landio.com/land-for-sale?availability=AVAILABLE	D:/LANDIO/LANDIO/LANDIO/www.landio.com/land-for-sale33e2.html	(from https://www.landio.com/)
02:18:32	690914/690914	---MCZ	200	added ('OK')	text/html	date:Tue,%2022%20Jul%202025%2022:27:45%20GMT	https://www.landio.com/land-for-sale	D:/LANDIO/LANDIO/LANDIO/www.landio.com/land-for-sale.html	(from https://www.landio.com/)
02:18:32	6364/6364	---M--	502	error ('Bad%20Gateway')	text/html	date:Tue,%2022%20Jul%202025%2023:18:23%20GMT	https://www.landio.com/land-for-sale?availability=Available	D:/LANDIO/LANDIO/LANDIO/www.landio.com/land-for-salefa88	(from https://www.landio.com/)
02:18:32	6364/6364	---M--	502	error ('Bad%20Gateway')	text/html	date:Tue,%2022%20Jul%202025%2023:18:23%20GMT	https://www.landio.com/land-for-sale?country=U.S.A.&property=FEATURED	D:/LANDIO/LANDIO/LANDIO/www.landio.com/land-for-saled8ee	(from https://www.landio.com/)
02:18:33	690914/690914	---MCZ	200	added ('OK')	text/html	date:Tue,%2022%20Jul%202025%2022:32:55%20GMT	https://www.landio.com/land-for-sale?availability=PENDING	D:/LANDIO/LANDIO/LANDIO/www.landio.com/land-for-sale9770.html	(from https://www.landio.com/)
02:18:33	6364/6364	---M--	502	error ('Bad%20Gateway')	text/html	date:Tue,%2022%20Jul%202025%2023:18:24%20GMT	https://www.landio.com/land-for-sale?availability=Pending	D:/LANDIO/LANDIO/LANDIO/www.landio.com/land-for-salecf56	(from https://www.landio.com/)
02:18:34	690914/690914	---MCZ	200	added ('OK')	text/html	date:Tue,%2022%20Jul%202025%2022:36:29%20GMT	https://www.landio.com/land-for-sale?availability=SOLD	D:/LANDIO/LANDIO/LANDIO/www.landio.com/land-for-saled9af.html	(from https://www.landio.com/)
02:18:34	6364/6364	---M--	502	error ('Bad%20Gateway')	text/html	date:Tue,%2022%20Jul%202025%2023:18:25%20GMT	https://www.landio.com/land-for-sale?availability=Sold	D:/LANDIO/LANDIO/LANDIO/www.landio.com/land-for-saleb306	(from https://www.landio.com/)
